Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
040461,-27.3947,152.9308,63,1971,2006,36,FERNY HILLS AUST WOOLSHED
040469,-25.8694,152.3172,77,1972,2011,40,MARODIAN HOMESTEAD
040496,-26.785,153.1147,57,1972,2011,40,CALOUNDRA WTP
040537,-27.4973,153.4078,17,1984,2010,27,DUNWICH
040553,-26.8425,153.0261,30,1973,1983,11,BEERWAH CSIRO RES STN
040584,-28.0481,153.2875,110.7,1974,2011,38,HINZE DAM
040606,-28.1056,153.3286,128,1974,2011,38,UPPER MUDGEERABA WATER
040608,-28.0039,153.4008,6,1974,1990,17,BENOWA WATER TREAT
040609,-28.1178,153.4457,4,1974,2011,38,ELANORA WATER TREATMENT PLANT
040651,-26.6644,152.4606,523,2001,2012,12,JIMNA FORESTRY
040659,-27.6956,152.9408,77,1975,2011,37,GREENBANK THOMPSON ROAD
040674,-26.6614,152.2003,219,1977,2011,35,MT STANLEY STATION
040677,-28.1752,152.6557,231,1977,2011,35,MAROON DAM
040697,-27.245,153.1006,25,1989,2004,16,REDCLIFFE COUNCIL
040715,-27.6473,153.1718,32,1989,2009,21,SHAILER PARK OREGON DRVE
040764,-27.939,153.4283,3,2000,2011,12,GOLD COAST SEAWAY
040769,-26.8919,152.105,450,1988,1999,12,BLACKBUTT FORESTRY STN
040842,-27.3917,153.1292,4.5,2000,2011,12,BRISBANE AERO
040849,-27.9136,153.3657,3,1992,2011,20,COOMBABAH WATER TREATMENT PLANT
040854,-27.6839,153.1947,14,1992,2012,21,LOGAN CITY WATER TREATMENT PLANT
040856,-25.9007,153.0891,14.4,1992,2011,20,RAINBOW BEACH
040913,-27.4808,153.0389,8.1,2000,2011,12,BRISBANE
041018,-27.9317,151.9058,443,1972,2011,40,CLIFTON POST OFFICE
041044,-28.2061,152.1003,475.4,1952,2001,50,HERMITAGE
041056,-28.3344,152.2953,507,1972,2011,40,KILLARNEY POST OFFICE
041060,-28.0092,151.5861,366,1959,1996,38,LEYBURN
041063,-28.0106,151.5856,412,1997,2012,16,LEYBURN POST OFFICE
041097,-28.3429,150.9363,379,2000,2012,13,INGLEWOOD FOREST
041100,-28.8544,151.1681,295,1972,2011,40,TEXAS POST OFFICE
041116,-28.9231,151.9306,875,2002,2012,11,WALLANGARRA POST OFFICE
041122,-28.5725,150.7542,244,1969,2012,44,YELARBON
041139,-28.1672,150.6475,251,1973,2012,40,WYAGA STATION
041140,-27.1864,151.2553,343,1959,1992,34,DALBY REGIONAL COUNCIL
041175,-28.6217,151.9533,871.6,1965,2011,47,APPLETHORPE
041359,-27.4034,151.7413,405.7,1973,2012,40,OAKEY AERO
041430,-28.9653,151.47,438,1990,2011,22,GLENLYON DAM
041445,-28.2144,151.9194,478,1986,2011,26,LESLIE DAM
041457,-28.4225,151.2131,315,1976,2012,37,COOLMUNDA DAM
041497,-27.1494,151.2894,347,1985,2011,27,AAC DALBY CAMPUS
041512,-27.3825,151.9244,497,1991,2011,21,COOBY CREEK DAM
041521,-28.5211,150.3256,217.6,1991,2012,22,GOONDIWINDI AIRPORT
041522,-27.1605,151.2634,343.9,1992,2011,20,DALBY AIRPORT
041525,-28.2061,152.1003,475.4,1999,2011,13,WARWICK
042016,-27.3411,150.0619,283,1969,2011,43,HANNAFORD POST OFFICE
042027,-28.4872,149.47,180,1972,2012,41,TALWOOD STATE SCHOOL
042054,-26.1083,150.9617,366,1971,1989,19,CADARGA DPI
042059,-25.9525,150.6142,299,1972,2012,41,AUBURN
042085,-27.9167,150.1833,18,1973,1987,15,ULUPNA
042094,-27.8828,149.5925,225,1983,2011,29,CHERRY PARK
042102,-27.9364,150.1425,248,1987,2011,25,RIPPLE DOWNS
042112,-26.6569,150.1819,304.8,1997,2011,15,MILES CONSTANCE STREET
043015,-25.8428,148.5669,390,1968,2011,44,INJUNE POST OFFICE
043020,-26.4888,147.9777,336.5,1963,2011,49,MITCHELL POST OFFICE
043035,-27.159,149.0703,245.7,1972,2012,41,SURAT
043044,-26.6383,149.4261,326,1967,2012,46,YULEBA STATE FOREST
043053,-28.0533,148.5633,200,1966,1993,28,ST GEORGE
043090,-27.9067,148.6514,197,1993,2011,19,BEARDMORE DAM
043091,-26.5474,148.7716,307.4,1992,2011,20,ROMA AIRPORT
043109,-28.0489,148.5942,198.5,1997,2011,15,ST GEORGE AIRPORT
044021,-26.4139,146.2558,301.6,1953,2011,59,CHARLEVILLE AERO
044026,-28.0689,145.6822,188.8,1971,2012,42,CUNNAMULLA POST OFFICE
044030,-28.5758,148.2297,167,1972,2009,38,DIRRANBANDI HIGH SCHOOL
044079,-26.7731,147.3194,361,1993,2011,19,ALBURY
044115,-25.3353,147.3,538,1970,2011,42,CHESTERTON
044140,-26.8033,147.8742,356,1973,1993,21,ARCOONA
045015,-26.6125,144.2578,199.6,1963,2008,46,QUILPIE AIRPORT
046012,-31.5194,143.385,94.3,2000,2011,12,WILCANNIA AERODROME AWS
046037,-29.4345,142.0098,183,1984,2011,28,TIBOOBURRA POST OFFICE
047058,-32.3902,142.4164,64,1993,2011,19,MENINDEE DWR DEPOT
048015,-29.9614,146.8651,115,1996,2011,16,BREWARRINA HOSPITAL
048027,-31.484,145.8294,260,1962,2011,50,COBAR MO
048031,-29.5407,148.5818,145,1976,2011,36,COLLARENEBRI (ALBERT ST)
050102,-33.0833,147.15,199,1957,1974,18,CONDOBOLIN SOIL CONSERVATION
051049,-31.9861,147.9489,215,1968,2011,44,TRANGIE RESEARCH STATION AWS
052069,-30.2747,148.8222,155,1970,1983,14,PILLIGA (RIVERVIEW)
053048,-29.4819,149.8383,212.1,1964,1995,32,MOREE COMPARISON
053115,-29.4898,149.8471,213,1995,2011,17,MOREE AERO
054036,-29.2443,150.8923,440,1954,1969,16,WALLANGRA (WALLANGRA STATION)
054102,-30.3735,150.6723,620,1971,2011,41,BARRABA (ROSEVALE)
054104,-29.3899,151.2448,462,1971,2011,41,PINDARI DAM
054105,-30.3354,150.9338,880,1975,2011,37,BUNDARRA (GRANITE HEIGHTS)
054138,-30.156,150.3889,392,1976,2011,36,UPPER HORTON (DUNBEACON)
055024,-31.0261,150.2687,307,1946,2011,66,GUNNEDAH RESOURCE CENTRE
055054,-31.0867,150.8467,404,1958,1992,35,TAMWORTH AIRPORT
055136,-30.9672,151.3451,910,1971,2011,41,WOOLBROOK (DANGLEMAH ROAD)
055194,-31.3365,150.8537,518,1971,2011,41,GOWRIE NORTH
055235,-31.4833,151.15,500,1959,1977,19,NUNDLE SHIRE COUNCIL
055302,-31.3556,151.1358,520,1977,2010,34,NUNDLE (CHAFFEY DAM)
055327,-31.1259,150.8323,438,1993,2011,19,TAMWORTH (OXLEY LANE)
056013,-29.6953,151.6936,1060,1970,2011,42,GLEN INNES AG RESEARCH STN
056018,-29.7752,151.0819,664,1947,2010,64,INVERELL RESEARCH CENTRE
056022,-28.4622,152.3506,385,1973,2010,38,LEGUME (NEW KOREELAH)
056035,-30.9853,151.5942,1050,1965,1979,15,WALCHA POST OFFICE
056041,-29.1333,151.45,347,1954,1969,16,BONSHAW (MONKSTADT)
056059,-29.05,152.1,823,1956,1974,19,TENTERFIELD (COOREDULLA)
056140,-29.4684,151.6667,930,1962,2011,50,EMMAVILLE (BEN VALE)
056202,-28.9776,152.1552,820,1971,2011,41,BLACK SWAMP (MAXWELL)
057033,-30.5112,152.0427,960,1959,1982,24,WOLLOMOMBI POST OFFICE
057056,-30.75,152.0667,920,1964,1983,20,WOLLOMOMBI (HALLS PEAK)
057091,-30.7167,151.8531,1067,1975,2010,36,URALLA (BLUE NOBBY)
057095,-28.7551,152.4507,555,1969,2011,43,TABULAM (MUIRNE)
057103,-30.0093,152.0101,975,1969,2011,43,KOOKABOOKRA
057104,-31.2739,151.9655,1110,1959,2011,53,YARROWITCH (MARETTO)
057105,-31.0667,151.9167,1080,1959,1975,17,WALCHA (BULIMBA DOWNS)
058013,-28.3167,153.4333,5,1952,1972,21,CONDONG SUGAR MILL
058016,-28.424,152.7548,195,2000,2011,12,UNUMGAR (SUMMERLAND WAY)
058025,-29.7067,152.94,6,1952,1968,17,SOUTH GRAFTON POST OFFICE
058026,-28.4414,152.8296,140,1963,2000,38,GREVILLIA (SUMMERLAND WAY)
058044,-28.5966,153.2233,70,1963,2010,48,NIMBIN POST OFFICE
058072,-28.6533,153.4542,175,1965,1998,34,FEDERAL POST OFFICE
058076,-29.7,152.9333,8,1963,1981,19,GRAFTON SOUTH (PLUVIOGRAPH)
058081,-28.9667,152.8167,100,1963,1984,22,UPPER MONGOGARIE (KIMBERLEY)
058099,-29.2823,152.9886,50,1973,2011,39,WHIPORIE POST OFFICE
058109,-28.3672,153.1689,91,1965,1996,32,TYALGUM (KERRS LANE)
058113,-28.4738,153.0861,210,1978,2010,33,GREEN PIGEON (MORNING VIEW)
058116,-28.45,153,110,1965,1979,15,LYNCHS CREEK (WARRAZAMBLE ROAD)
058129,-28.4659,153.2631,61,1965,2008,44,KUNGHUR (THE JUNCTION)
058131,-28.8521,153.4556,140,1963,2011,49,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT
058158,-28.3395,153.3809,8,1972,2011,40,MURWILLUMBAH (BRAY PARK)
058192,-28.9883,152.8809,70,1987,2011,25,UPPER MONGOGARIE (MARANGAROO)
059000,-30.8141,152.5129,95,1956,2010,55,BELLBROOK (EAST STREET)
059017,-31.077,152.8235,10,1956,2011,56,KEMPSEY (WIDE STREET)
059026,-30.3076,152.9874,145,1970,2011,42,UPPER ORARA (AURANIA)
059040,-30.3107,153.1187,5,1960,2011,52,COFFS HARBOUR MO
059067,-30.3439,152.7128,740,1954,1999,46,DORRIGO (MYRTLE ST)
060030,-31.9033,152.4496,21,1964,2005,42,TAREE (ROBERTSON ST)
060076,-31.4333,152.9,10,1952,1973,22,PORT MACQUARIE DMR
060080,-31.6274,152.443,670,1966,2011,46,COMBOYNE SOUTH
060085,-31.3865,152.2482,155,1969,2011,43,YARRAS (MOUNT SEAVIEW)
060104,-31.4138,151.598,1130,1971,2011,41,NOWENDOC (GREEN HILLS)
060106,-31.6647,152.0637,120,1977,2011,35,NUMBER ONE (MURRAYS CREEK)
060112,-32.0525,151.9147,125,1982,2011,30,GLOUCESTER (HIAWATHA)
061029,-33.2333,151.2,312,1969,1981,13,KULNURA (WILLIAM ROAD)
061078,-32.7932,151.8359,9,1952,2011,60,WILLIAMTOWN RAAF
061089,-32.0632,150.9272,216,1952,2011,60,SCONE SCS
061151,-32.2426,151.683,194,1960,2011,52,CHICHESTER DAM
061152,-32.9995,151.2908,165,1959,1971,13,CONGEWAI (GREENOCK)
061158,-32.5067,151.3779,60,1964,2011,48,GLENDON BROOK (LILYVALE)
061171,-32.5167,150.9667,90,1958,1980,23,JERRYS PLAINS (CARRINGTON)
061174,-32.9,151.2667,130,1958,1981,24,MILLFIELD COMPOSITE
061181,-32.75,151.1667,91.4,1959,1969,11,BROKE (OAKLEY)
061193,-32.9,151.0833,95,1959,1970,12,WOLLOMBI (STOCKYARD CREEK)
061209,-32.9597,150.675,280,1962,1983,22,PUTTY TEA ROOMS
061211,-33.3588,150.7058,320,1962,2010,49,COLO HEIGHTS (MOUNTAIN PINES)
061212,-32.3767,150.96,155,1964,1995,32,LIDDELL (POWER STATION)
061223,-32.9131,151.75,8,1964,1991,28,MARYVILLE
061238,-32.8143,151.3025,132,1962,2011,50,POKOLBIN (SOMERSET)
061240,-32.9667,151.1333,95,1955,1973,19,WOLLOMBI (BLAIR)
061250,-32.6296,151.5919,30,1975,2011,37,PATERSON (TOCAL AWS)
061287,-32.1852,150.1737,375,1969,2011,43,MERRIWA (ROSCOMMON)
061288,-32.3322,151.4595,200,1969,2011,43,LOSTOCK DAM
061309,-32.6881,150.9728,120,1969,2011,43,MILBRODALE (HILLSDALE)
061311,-32.7688,151.793,11,1975,2006,32,GRAHAMSTOWN (HUNTER WATER BOARD)
061334,-33.0488,150.2325,320,1970,2011,42,GLEN ALICE
061351,-33.3102,151.2443,280,1981,2010,30,PEATS RIDGE (WARATAH ROAD)
061390,-32.8905,151.707,21,1998,2011,14,NEWCASTLE UNIVERSITY
062005,-32.0051,149.9815,395,1967,2004,38,CASSILIS POST OFFICE
062020,-32.5014,150.0333,400,1965,1991,27,BYLONG (MONTORO)
062026,-32.8079,149.977,605,1955,1973,19,RYLSTONE (ILFORD RD)
062053,-32.2667,149.7333,440,1965,1974,10,ULAN POWER STATION
062102,-32.5204,150.0817,328,1991,2011,21,BYLONG (BYLONG ROAD)
063023,-33.8087,148.7071,381,1941,2011,71,COWRA RESEARCH CENTRE (EVANS ST)
063035,-33.0362,149.4146,870,1959,1975,17,HILL END POST OFFICE
063039,-33.7122,150.3087,1015,1965,2010,46,KATOOMBA (MURRI ST)
063043,-33.5343,150.6338,460,1965,2011,47,KURRAJONG HEIGHTS (BELLS LINE OF ROAD)
063108,-33.7167,149.8667,1050,1955,1988,34,OBERON DAM
063116,-34.0861,149.1391,680,1998,2011,14,BIGGA (WYOMING)
063253,-33.3167,149.05,975,1955,1973,19,ORANGE (ROSETEAGUE)
063254,-33.3211,149.0828,922,1984,2011,28,ORANGE AGRICULTURAL INSTITUTE
064009,-32.0159,149.3964,388,1959,1975,17,DUNEDOO POST OFFICE
064046,-31.2886,149.0687,860,1971,2011,41,COONABARABRAN (WESTMOUNT)
065035,-32.5059,148.9708,390,1961,2005,45,WELLINGTON RESEARCH CENTRE
065100,-32.9874,148.2288,360,1992,2011,20,ALECTOWN (CAWDOR)
066037,-33.9465,151.1731,6,1962,2011,50,SYDNEY AIRPORT AMO
066062,-33.8607,151.205,39,1913,2011,99,SYDNEY (OBSERVATORY HILL)
066063,-33.7206,151.1128,205,1949,1973,25,WAHROONGA RESERVOIR
066078,-34.0517,150.98,140,1959,1968,10,LUCAS HEIGHTS (ANSTO)
066124,-33.7917,151.0181,55,1984,2011,28,PARRAMATTA NORTH (MASONS DRIVE)
066137,-33.9181,150.9864,6.5,1968,1992,25,BANKSTOWN AIRPORT AWS
066142,-33.6761,151.1818,169,1987,2011,25,DUFFYS FOREST (NAMBA RD)
066164,-33.8771,151.0577,41,1973,1985,13,ROOKWOOD (HAWTHORNE AVE)
066184,-33.834,151.2484,85,1984,2011,28,MOSMAN COUNCIL
067006,-33.9,150.95,24,1961,1973,13,FAIRFIELD MWSDB
067033,-33.6022,150.7794,19,1953,1994,42,RICHMOND RAAF
067035,-33.9272,150.9128,20,1965,2001,37,LIVERPOOL(WHITLAM CENTRE)
067113,-33.7195,150.6783,24.7,1996,2011,16,PENRITH LAKES AWS
068076,-34.9449,150.545,109,1964,1997,34,NOWRA RAN AIR STATION
068102,-34.4869,150.4019,690,1992,2011,20,BOWRAL (PARRY DRIVE)
068117,-34.59,150.6085,760,1962,2005,44,ROBERTSON (ST.ANTHONYS)
068131,-34.4674,150.8813,9,1963,2011,49,PORT KEMBLA (BSL CENTRAL LAB)
068195,-34.6368,150.4026,568,1971,1992,22,MOSS VALE (TOROKINA)
068203,-35.085,150.23,760,1963,1983,21,SASSAFRAS (ETTREMA)
069000,-35.65,149.8167,160,1960,1970,11,ARALUEN POST OFFICE
069049,-35.1165,150.0847,630,1971,2011,41,NERRIGA COMPOSITE
069055,-37.2614,150.0497,20,1967,2002,36,GREEN CAPE LIGHTHOUSE
069066,-36.9296,149.646,300,1993,2011,19,WYNDHAM POST OFFICE
069127,-35.6864,149.8386,145,1980,2011,32,ARALUEN LOWER (ARALUEN RD)
069148,-35.9004,150.1437,4,1999,2011,13,MORUYA AIRPORT AWS
070012,-34.8996,149.9709,650,1965,2010,46,BUNGONIA (INVERARY PARK)
070014,-35.3049,149.2014,578.4,1937,2010,74,CANBERRA AIRPORT COMPARISON
070015,-35.3,149.1,581,1932,1971,40,CANBERRA FORESTRY
070073,-36.0329,149.1323,716,1965,2011,47,CHAKOLA (RIVERSDALE)
070080,-34.4048,149.8197,845,1977,2010,34,TARALGA POST OFFICE
070099,-35.28,149.11,,1921,1939,19,CANBERRA (ACTON)
070199,-36.0767,149.5134,1040,1965,2011,47,NUMERALLA (BADJA COMPOSITE)
070282,-35.2667,149.1167,564,1974,1988,15,CANBERRA CITY
071010,-35.8833,148.5,1395,1957,1967,11,KIANDRA CHALET
071042,-36.6022,148.4677,1215,1971,2011,41,INGEBYRA (GROSSES PLAINS)
072023,-36.1039,147.0329,184,1955,2011,57,HUME RESERVOIR
072056,-35.3947,148.247,308,1955,1973,19,BLOWERING DAM
072060,-36.2254,148.1431,337,1961,1994,34,KHANCOBAN SMHEA
072091,-35.9383,148.3842,1475,1956,1974,19,CABRAMURRA SMHEA
072099,-35.9111,148.2167,715,1971,1997,27,TOOMA (UPPINGHAM)
072150,-35.1583,147.4575,212,1945,2011,67,WAGGA WAGGA AMO
072159,-35.3019,147.9402,322,1993,2011,19,ADELONG (ETHAM PARK)
072163,-35.899,148.1821,585,1997,2011,15,TOOMA (EUDLO)
073007,-34.9997,148.5984,390,1911,2011,101,BURRINJUCK DAM
074039,-35.3667,145.05,91,1950,1977,28,DENILIQUIN FALKINER MEMORIAL
074114,-35.1311,147.3091,222,1946,2004,59,WAGGA WAGGA RESEARCH CENTRE
074128,-35.5269,144.952,93,1977,2003,27,DENILIQUIN (WILKINSON ST)
075028,-34.3183,146.0667,126,1931,1989,59,GRIFFITH CSIRO
075050,-33.6104,146.3161,192,1970,2011,42,NARADHAN (URALBA)
076031,-34.2358,142.0867,50,1953,2011,59,MILDURA AIRPORT
076064,-35.1201,142.004,105,1988,2011,24,WALPEUP RESEARCH
077087,-35.7253,142.3656,76.2,1958,1995,38,HOPETOUN RWC
077095,-35.6704,142.2688,82,1998,2011,14,HOPETOUN (WIRRBIBIAL DOWNS)
079023,-36.6613,142.0687,128,1998,2011,14,HORSHAM POLKEMMET RD
079046,-37.0936,142.4344,440,1974,2011,38,WARTOOK RESERVOIR
079052,-37.23,141.9609,220,1955,2011,57,ROCKLANDS RESERVOIR
079079,-36.7913,143.1207,228.6,1973,2011,39,TOTTINGTON
079082,-36.7007,142.2009,140,1958,1997,40,HORSHAM
079086,-36.8637,143.123,262.1,1973,2011,39,NAVARRE (AVON NO.3)
080006,-36.3,143.4,116.7,1951,1963,13,CHARLTON POST OFFICE
080067,-36.2717,143.3453,130,1951,2011,61,CHARLTON (DONALD ST)
080102,-36.0597,144.115,90,1973,1986,14,PYRAMID HILL
080109,-35.9119,145.6447,113,1957,2011,55,COBRAM (GOULBURN MURRAY)
080110,-35.7357,143.9295,77,1957,2004,48,KERANG GMW
081003,-36.7533,144.2825,225.3,1968,1992,25,BENDIGO PRISON
081013,-36.3717,145.7048,185,1950,2012,63,DOOKIE AGRICULTURAL COLLEGE
081026,-36.8339,143.8917,170,1973,2004,32,LAANECOORIE WEIR
081038,-36.9422,143.4711,198.1,1974,2011,38,NATTE YALLOCK
081049,-36.4378,145.2672,114,1960,2011,52,TATURA INST SUSTAINABLE AG
081114,-36.4344,145.2278,114,1975,1999,25,TATURA (THIESS SERVICES)
081115,-36.6284,144.8726,115,1974,2011,38,WANALTA DAEN STATION
081123,-36.7395,144.3266,208,1992,2011,20,BENDIGO AIRPORT
082011,-36.2003,147.8956,313.5,1972,2006,35,CORRYONG (PARISH LANE)
082016,-36.7545,145.5727,181,1967,2011,45,EUROA
082039,-36.1047,146.5094,175,1975,2011,37,RUTHERGLEN RESEARCH
082042,-36.8472,145.7308,502,1974,2011,38,STRATHBOGIE
082076,-36.5353,147.4984,365,1975,2011,37,DARTMOUTH RESERVOIR
082107,-36.855,146.0046,273,1968,2011,44,LIMA SOUTH (LAKE NILLAHCOOTIE)
082121,-36.35,146.3417,,1957,1993,37,OVENS RIVER (WANGARATTA)
082138,-36.4206,146.3056,152.6,1987,2010,24,WANGARATTA AERO
083017,-37.3014,146.1406,300,1974,2004,31,JAMIESON
083025,-37.1011,147.598,685,1985,2011,27,OMEO COMPARISON
083031,-36.7513,146.4156,240,1962,1991,30,WHITFIELD
083033,-37.5696,146.2541,680,1954,2011,58,WOODS POINT
083067,-36.7313,146.9614,319,1969,1994,26,BRIGHT
083074,-36.9136,146.3864,440,1988,2000,13,LAKE WILLIAM HOVELL RESERVOIR
083083,-36.7396,146.4671,365,1991,2011,21,EDI UPPER
084005,-37.5035,148.1692,140,1962,2011,50,BUCHAN
084015,-37.3757,147.8373,240,1972,2011,40,ENSAY
084030,-37.6917,148.4589,41,1994,2011,18,ORBOST (COMPARISON)
084040,-37.3721,149.474,151,1999,2011,13,WANGARABELL
084078,-37.7513,147.7301,8,1962,2011,50,SARSFIELD EAST
084085,-37.4315,149.0003,178,1987,2008,22,COMBIENBAR
084121,-37.7014,148.4569,45.4,1972,1994,23,ORBOST SRWSC
084122,-37.4772,149.6386,21,1966,2011,46,GENOA (FOOLS HAVEN)
084123,-37.3475,149.4806,210,1972,1999,28,WROXHAM NO 2
084125,-37.3811,147.1067,255,1972,2011,40,CROOKED RIVER
085026,-37.9743,146.3735,445,1959,1975,17,ERICA
085034,-37.9085,146.8046,95,1957,2011,55,GLENMAGGIE WEIR
085072,-38.1156,147.1322,4.6,1953,2011,59,EAST SALE AIRPORT
085098,-38.2,146.4,155.1,1936,1948,13,YALLOURN
085103,-38.1858,146.3317,153.6,1949,1972,24,YALLOURN SEC
085106,-38.4861,146.3233,182.9,1957,1978,22,OLSENS BRIDGE (MORWELL RIVER PRISON)
085111,-37.8,147.1,59.7,1959,1969,11,BRIAGOLONG
085170,-38.2211,146.5233,82,1961,1979,19,TRARALGON L.V.W.& S.B.
085176,-37.8283,146.18,838.2,1957,1991,35,TANJIL BREN POST OFFICE
085227,-38.5215,146.2041,263,1971,2011,41,EAST TARWIN (MIRBOO PASTORAL COMPANY)
085236,-38.3181,146.5645,184,1961,2011,51,CALLIGNEE NORTH
085237,-37.8833,146,236.2,1959,1978,20,NOOJEE ENGLISH HMSD
085240,-38.2456,145.9347,167,1961,2000,40,ELLINBANK DAIRY RESEARCH INST
085254,-37.8115,146.9567,38,1984,2011,28,VALENCIA CREEK (LITTLE PLAIN)
085256,-37.5125,146.5478,450,1974,2004,31,BARKLY RIVER (GLENLEA)
085277,-37.9039,145.9719,275,1981,2011,31,NOOJEE (SLIVAR)
085278,-37.7196,146.3888,495,1985,2011,27,ABERFELDY (LILY CREEK  (LAROMMI))
086038,-37.7276,144.9066,78.4,1951,1986,36,ESSENDON AIRPORT
086070,-37.639,145.5497,174,1956,1975,20,MAROONDAH WEIR (MELBOURNE WATER)
086071,-37.8075,144.97,31.2,1873,2011,139,MELBOURNE REGIONAL OFFICE
086074,-37.8219,145.1906,155,1939,1977,39,MITCHAM
086085,-37.9897,145.3356,120,1974,2011,38,NARRE WARREN NORTH (NARRE WARREN  NORTH
086096,-37.7214,145.0059,94,1929,1974,46,PRESTON RESERVOIR
086104,-37.871,145.2561,80,1961,1994,34,SCORESBY RESEARCH INSTITUTE
086142,-37.572,145.5014,595,1954,2012,59,TOOLANGI (MOUNT ST LEONARD DPI)
086147,-38.0333,145.1,5,1953,1973,21,ASPENDALE CSIRO
086219,-37.6886,145.5644,360,1955,1977,23,CORANDERRK BADGER WEIR
086224,-37.9764,145.2247,54,1965,1996,32,DANDENONG
086234,-37.7869,145.2847,115,1965,2011,47,CROYDON (COUNCIL DEPOT)
086245,-38.1167,145.1797,30,1967,1993,27,CARRUM DOWNS
086251,-37.9144,145.3317,219.5,1967,1995,29,UPWEY SHIRE COUNCIL
086282,-37.6655,144.8321,113.4,1970,2011,42,MELBOURNE AIRPORT
086314,-38.1992,145.4933,5.1,1957,2011,55,KOO WEE RUP (SRW)
086351,-37.7163,145.0453,83,1984,2011,28,BUNDOORA (LATROBE UNIVERSITY)
087017,-37.4701,144.3069,560,1974,2011,38,BLACKWOOD
087029,-37.2698,144.723,463,1929,1975,47,LANCEFIELD
087031,-37.8565,144.7566,20.1,1965,1999,35,LAVERTON RAAF
087032,-37.9,144.75,13.7,1965,1976,12,LAVERTON SALINES
087033,-37.991,144.4943,20,1965,2011,47,LITTLE RIVER
087036,-37.4155,144.5569,505,1929,1974,46,MACEDON FORESTRY
087039,-37.6649,144.5748,156,1984,2011,28,MELTON
087061,-37.5706,144.7411,200,1929,1967,39,SUNBURY (SALESIAN COLLEGE )
087075,-37.4964,144.5028,515.1,1966,2010,45,BULLENGAROOK EAST (SESKINORE)
087097,-37.7,144.3167,,1954,1973,20,PARWAN
087104,-37.9767,144.6317,13.7,1965,1991,27,WERRIBEE CATTLE YARDS
087105,-37.95,144.6167,12,1965,1982,18,WERRIBEE SEWERAGE FARM
087107,-37.9333,144.75,2.4,1965,1976,12,POINT COOK RAAF ACADEMY
087133,-38.1164,144.3667,12.2,1968,1996,29,GEELONG NORTH
088023,-37.2313,145.9124,230,1957,2011,55,LAKE EILDON
088029,-36.9579,144.6935,294,1968,2011,44,HEATHCOTE
088037,-37.2535,144.3825,487.6,1958,2011,54,LAURISTON RESERVOIR
088049,-37,145,213,1968,1988,21,PUCKAPUNYAL
088153,-37.0748,145.722,360,1973,1984,12,SPRING CREEK BASIN TWO
088158,-37.2714,145.2831,248,1991,2011,21,STRATH CREEK
089002,-37.5127,143.7911,435.2,1954,1999,46,BALLARAT AERODROME
089016,-37.711,142.8395,220,1968,2011,44,LAKE BOLAC (POST OFFICE)
089019,-37.4043,142.3843,248,1974,2011,38,MIRRANATWA (BOWACKA)
089025,-37.6854,143.3654,295,1974,1993,20,SKIPTON POST OFFICE
089082,-37.5042,143.2792,332,1974,2011,38,BEAUFORT (SHEEPWASH)
089085,-37.2772,142.9808,295,1981,2011,31,ARARAT PRISON
089111,-37.5174,143.7791,441,1999,2011,13,BALLARAT HOPETOUN RD
090058,-38.0853,142.79,130,1973,1996,24,MORTLAKE
090083,-38.6357,143.5127,492,1974,2011,38,WEEAPROINAH
090087,-38.6636,143.4495,535,1952,2011,60,WYELANGTA
090135,-37.5908,141.4129,71,1973,2010,38,CASTERTON SHOWGROUNDS
090153,-38.255,143.1256,245,1957,2011,55,CAMPERDOWN  DONALDS HILL
090166,-38.2453,143.9764,90,1974,1997,24,WINCHELSEA SHIRE DEPOT
090167,-38.243,143.9887,85,1998,2011,14,WINCHELSEA (POST OFFICE)
091000,-41.5211,146.7158,237,2002,2012,11,DELORAINE (ATHOL)
091009,-41.0661,145.9431,8,1944,2012,69,BURNIE (ROUND HILL)
091033,-41.3203,146.7378,240,1957,1975,19,FRANKFORD (ROSSVILLE)
091038,-41.6333,146.7,380,1957,1978,22,GOLDEN VALLEY
091049,-41.4264,147.1275,3,1931,1963,33,LAUNCESTON (PUMP STATION)
091079,-41.0867,145.5517,260,1971,2001,31,PREOLENNA
091104,-41.5397,147.2033,166,1938,2009,72,LAUNCESTON AIRPORT COMPARISON
091116,-41.15,147.5167,199.9,1953,1969,17,SCOTTSDALE (KRAFT FOODS)
091186,-41.2039,146.265,127,1976,2011,36,FORTHSIDE RESEARCH STATION
091194,-41.3456,147.8036,710,1957,2011,55,MOUNT VICTORIA (UNA PLAIN)
091198,-41.3917,147.4242,1313,1968,2011,44,MOUNT BARROW (SOUTH BARROW)
091219,-41.1708,147.4883,197.5,1987,2012,26,SCOTTSDALE (WEST MINSTONE ROAD)
091237,-41.4194,147.1222,5,1980,2011,32,LAUNCESTON (TI TREE BEND)
091270,-41.2994,147.495,635,2001,2012,12,DIDDLEUM (SOWTERS ROAD)
091290,-41.6308,146.7,487,1996,2011,16,GOLDEN VALLEY (BRODIES ROAD)
091323,-41.0953,145.5453,354,2001,2011,11,PREOLENNA
092012,-41.6428,147.9664,237,1979,2011,33,FINGAL (LEGGE STREET)
092019,-42.0067,147.7975,575,1957,2011,55,LAKE LEAKE (ELIZABETH RIVER)
092042,-41.5333,147.8667,427,1957,1985,29,TOWER HILL
