Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
014153,-11.1538,132.143,5,1996,2010,15,BLACK POINT
014198,-12.6594,132.8939,26.5,1971,2010,40,JABIRU AIRPORT
014227,-12.3887,130.9248,16,1992,2010,19,KARAMA
014253,-13.1672,130.1225,3,1997,2011,15,CHANNEL POINT
014272,-13.0545,131.0252,104,2001,2012,12,BATCHELOR AERO
014400,-12.0482,134.2263,11,1969,2003,35,MANINGRIDA
014401,-11.6502,133.3796,19.2,1997,2010,14,WARRUWI
014507,-13.8483,136.4198,20,1996,2011,16,ALYANGULA POLICE
014508,-12.2741,136.8203,51.6,1966,2012,47,GOVE AIRPORT
014612,-15.5748,133.2137,180,1996,2010,15,LARRIMAH
014626,-16.2636,133.3782,209.8,1953,2011,59,DALY WATERS AWS
014646,-14.8528,134.036,58,1997,2010,14,FLYING FOX
014703,-15.7426,136.8192,12.2,1988,2010,23,CENTRE ISLAND
014704,-16.4423,136.076,40,1984,2011,28,MCARTHUR RIVER MINE
014707,-17.2122,137.9462,60,1997,2011,15,WOLLOGORANG
014806,-16.4155,132.0857,209,1997,2011,15,BIRRIMBA
014840,-17.3871,131.1166,196,1996,2011,16,WAVE HILL
014847,-16.1176,130.9558,100,1998,2011,14,KIDMAN SPRINGS
014850,-15.6614,130.4808,20.1,1996,2011,16,TIMBER CREEK
014903,-14.4437,132.2737,108,1996,2012,17,KATHERINE AVIATION MUSEUM
014904,-14.4833,132.25,120.1,1953,1968,16,KATHERINE EXP. FARM
014908,-13.6817,130.6367,15,1966,1981,16,WOOLIANA
014932,-14.5229,132.3826,133.6,2001,2012,12,TINDAL RAAF
014938,-13.7379,130.6834,15.2,1980,2010,31,MANGO FARM
014960,-13.8242,131.8321,205.5,2000,2011,12,PINE CREEK COUNCIL
015085,-18.637,135.945,218,1968,2011,44,BRUNETTE DOWNS
015131,-17.5551,133.5439,220,1988,2010,23,ELLIOTT
015135,-19.6423,134.1833,375.7,1969,2011,43,TENNANT CREEK AIRPORT
015502,-21.0025,134.4029,375,1988,2010,23,ALI CURUNG
015511,-25.3139,131.7571,489.6,1999,2011,13,CURTIN SPRINGS
015519,-24.7496,133.2316,418,1996,2011,16,PALMER VALLEY
015525,-21.5317,133.8901,510.5,1996,2011,16,BARROW CREEK
015528,-22.2562,131.8017,667,1996,2011,16,YUENDUMU
015534,-21.9041,136.0741,326,1996,2009,14,OORATIPPRA
015542,-21.8481,133.1228,556,1996,2010,15,ANNINGIE
015543,-22.6459,133.3457,684,1996,2011,16,AILERON
015548,-20.1883,130.0161,340,1969,1996,28,RABBIT FLAT
015553,-23.5092,133.2677,594,1995,2011,17,HAMILTON DOWNS
