Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
004007,-20.4,118.4667,6,1887,1973,87,BOODARIE
004008,-20.6392,119.2431,120,1907,2012,106,CARLINDIE
004009,-20.6833,119.6667,,1904,1974,71,COONGAN STATION
004010,-21.0333,117.1333,200,1900,1974,75,COOYA POOYA
004011,-21.4667,119.8333,400,1897,1975,79,CORUNNA DOWNS
004012,-20.1756,119.1908,15,1888,2012,125,DE GREY
004013,-20.5167,119.6667,,1901,1964,64,ETTRICK
004015,-21.7219,119.3989,271,1917,2012,96,HILLSIDE STATION
004016,-20.7867,118.5972,80,1909,2012,104,INDEE
004019,-19.7419,120.8436,7.5,1913,2012,100,MANDORA
004020,-21.1756,119.7497,182.3,1895,2006,112,MARBLE BAR COMPARISON
004021,-21.3122,120.0586,270,1901,1997,97,MOUNT EDGAR
004022,-20.6333,120.0544,85,1898,1998,101,MUCCAN
004023,-20.4619,119.5189,30,1888,1998,111,MULYIE
004024,-20.5192,118.0603,20,1899,2012,114,MUNDABULLANGANA
004025,-20.5,119.8,,1909,1967,59,NIMINGARRA
004026,-22.2914,120.1761,495,1911,2011,101,NOREENA DOWNS
004027,-21.8861,120.1103,380,1897,2004,108,NULLAGINE
004028,-20.1078,119.5811,9,1904,2012,109,PARDOO STATION
004030,-21.4,119.4,,1915,1961,47,PILGA
004032,-20.3725,118.6317,6.4,1942,2012,71,PORT HEDLAND AIRPORT
004033,-21.0561,117.4436,40,1951,2012,62,PYRAMID STATION
004034,-22.0167,121.4,,1913,1947,35,RPF 734 MILE
004035,-20.7767,117.1456,12,1887,2012,126,ROEBOURNE
004036,-20.4681,119.0556,67,1906,2012,107,STRELLEY
004037,-21.05,120,200,1897,1970,74,TALGA TALGA
004038,-20.7483,118.8172,97,1908,2012,105,WALLAREENYA
004039,-20.9469,117.3733,30,1937,2011,75,WARAMBIE
004040,-20.6472,119.5869,84,1899,1980,82,WARRALONG
004041,-20.8503,120.695,159,1897,2012,116,WARRAWAGINE
004042,-20.8394,117.8358,32,1897,2012,116,WHIM CREEK
004043,-21.9931,119.0131,387,1925,2012,88,REDMONT
004045,-21.62,118.955,250,1901,1997,97,ABYDOS WOODSTOCK
004046,-20.6739,120.2044,100,1898,2012,115,YARRIE
004047,-20.8333,118.9,120,1924,1976,53,TABBA TABBA
004053,-20.001,119.4,,1889,1927,39,CONDON
004054,-20.6783,117.1892,7,1882,2012,131,COSSACK
004059,-20.8822,118.0308,40,1900,2011,112,MALLINA
004061,-21.1,117.9833,,1912,1947,36,MOUNT SATIRIST
004068,-19.7789,120.6417,9,1897,2012,116,WALLAL DOWNS
004083,-20.7097,116.7742,5.3,1972,2012,41,KARRATHA AERO
004086,-20.8956,117.6447,30,1956,2012,57,SHERLOCK
005000,-22.5833,115.85,,1911,1951,41,BOOLALOO
005001,-21.8047,117.8056,360,1923,2012,90,COOLAWANYAH
005003,-22.8975,120.1733,425,1907,2003,97,ETHEL CREEK
005004,-22.3761,114.1108,15,1915,2011,97,EXMOUTH GULF
005005,-22.2792,117.6772,590,1912,2012,101,HAMERSLEY
005006,-22.9119,116.2903,160,1896,2012,117,KOOLINE
005007,-22.2406,114.0967,5,1945,2012,68,LEARMONTH AIRPORT
005008,-21.1906,115.9797,11,1885,2012,128,MARDIE
005009,-22.6331,119.4081,430,1936,2012,77,MARILLANA
005010,-22.9742,114.4597,120,1927,1999,73,MARRILLA
005011,-22.7,115.8,,1914,1958,45,MEILGA
005012,-21.5906,117.0656,300,1897,2012,116,MILLSTREAM
005013,-21.9964,115.0433,31,1912,2012,101,MINDEROO
005014,-21.7869,117.8647,450,1886,2012,127,MOUNT FLORANCE
005015,-22.1039,118.4703,400,1897,2011,115,MULGA DOWNS
005016,-21.6364,115.1117,4,1886,2012,127,ONSLOW
005017,-21.6689,115.1092,10.5,1940,2012,73,ONSLOW AIRPORT
005018,-21.85,115.6167,150,1895,1973,79,PEEDAMULLAH
005020,-22.6975,113.6747,10,1898,2012,115,NINGALOO
005021,-22.2667,115.4167,,1927,1968,42,RANGE
005022,-21.975,116.0653,150,1898,2012,115,RED HILL
005023,-22.6217,119.9564,410,1900,1990,91,ROY HILL
005024,-21.8067,114.1072,12,1913,1994,82,VLAMINGH HEAD
005025,-22.4,119.5333,,1927,1964,38,WARRIE
005026,-22.2425,118.3358,463,1950,2012,63,WITTENOOM
005028,-22.6906,116.2328,150,1903,2008,106,WYLOO
005029,-21.6767,116.3928,180,1930,2012,83,YALLEEN
005030,-22.5064,114.7944,25,1897,2011,115,YANREY
005031,-21.8875,114.0092,6,1915,1969,55,YARDIE CREEK
005032,-21.5703,115.8786,50,1898,2012,115,YARRALOOLA
005033,-22.2933,115.0342,150,1915,1981,67,KOORDARRIE
005034,-22.4558,116.0508,160,1899,2012,114,MOUNT STUART
005035,-21.6,117.6,,1896,1949,54,TAMBREY
005036,-22.9367,115.9825,170,1921,2012,92,GLEN FLORRIE STATION
005040,-21.1594,116.1197,15,1912,2012,101,BALMORAL
005041,-22.6,116.1,,1907,1948,42,COORARA STATION
005045,-22.685,114.3672,30,1913,2011,99,GIRALIA
005048,-22.5403,115.4981,80,1898,1997,100,NANUTARRA
005051,-21.9303,114.1256,13,1968,2012,45,EXMOUTH TOWN
005052,-20.8831,116.6725,30,1900,2011,112,KARRATHA STATION
005055,-22.2275,118.345,441.7,1974,2010,37,WITTENOOM AERO
005061,-20.7278,116.7483,6,1969,2011,43,DAMPIER SALT
005066,-22.7817,115.3706,100,1916,2004,89,UAROO
005068,-22.6811,114.0394,20,1957,2011,55,BULLARA
005069,-21.6392,116.3308,200,1971,2012,42,PANNAWONICA
005070,-21.3567,115.8208,10,1972,2012,41,ROBE
005071,-21.3444,115.9356,11,1972,2012,41,PINDRAL OUTCAMP
005072,-22.6967,117.7703,746,1972,2011,40,TOM PRICE
005078,-21.7672,114.8211,5,1977,2011,35,URALA
006000,-25.0417,115.3092,180,1887,2010,124,BIDGEMIA
006001,-27.4231,115.8347,254,1901,2012,112,BILLABALONG
006003,-24.6525,113.6936,4,1897,2009,113,BOOLATHANA
006004,-24.3333,114.0242,90,1904,1976,73,BOOLOGOORO
006005,-24.8208,113.7853,15,1903,2011,109,BRICKHOUSE
006006,-27.855,115.6733,300,1910,1977,68,BULLARDOO
006008,-25.0481,114.0294,25,1910,2012,103,CALLAGIDDY STATION
006009,-23.105,113.8031,6,1913,2012,100,CARDABIA
006010,-25.6114,115.4625,250,1910,2012,103,CAREY DOWNS
006011,-24.8878,113.67,4,1945,2012,68,CARNARVON AIRPORT
006012,-26.4628,113.505,20,1894,2000,107,CARRARANG
006013,-26.6972,114.3181,150,1946,2007,62,COBURN STATION
006015,-24.4447,114.0781,45,1891,2011,121,COORALYA
